Year,Subject,Winner
2015,chemistry,Tomas Lindahl
2015,economics,Angus Deaton
2015,literature,Svetlana Alexievich
2015,medicine,Satoshi Ōmura
2015,medicine,Tu Youyou
2015,medicine,William Campbell
2015,peace,National Dialogue Quartet
2015,physics,Arthur McDonald
2015,physics,Takaaki Kajita
2016,chemistry,Bernard Feringa
2016,chemistry,Jean-Pierre Sauvage
2016,chemistry,Sir Fraser Stoddart
2016,economics,Bengt Holmström
2016,economics,Oliver Hart
2016,literature,Bob Dylan
2016,medicine,Yoshinori Ohsumi
2016,peace,Juan Manuel Santos
2016,physics,David Thouless
2016,physics,F. Duncan Haldane
2016,physics,J. Michael Kosterlitz
2017,chemistry,Jacques Dubochet
2017,chemistry,Joachim Frank
2017,chemistry,Richard Henderson
2017,economics,Richard Thaler
2017,literature,Kazuo Ishiguro
2017,medicine,Jeffrey Hall
2017,medicine,Michael Rosbash
2017,medicine,Michael Young
2017,peace,International Campaign to Abolish Nuclear Weapons (ICAN)
2017,physics,Barry Barish
2017,physics,Kip Thorne
2017,physics,Rainer Weiss
2018,chemistry,Frances Arnold
2018,chemistry,George Smith
2018,chemistry,Sir Gregory Winter
2018,economics,Paul Romer
2018,economics,William Nordhaus
2018,literature,Olga Tokarczuk
2018,medicine,James Allison
2018,medicine,Tasuku Honjo
2018,peace,Denis Mukwege
2018,peace,Nadia Murad
2018,physics,Arthur Ashkin
2018,physics,Donna Strickland
2018,physics,Gérard Mourou
2019,chemistry,Akira Yoshino
2019,chemistry,John Goodenough
2019,chemistry,M. Stanley Whittingham
2019,economics,Abhijit Banerjee
2019,economics,Esther Duflo
2019,economics,Michael Kremer
2019,literature,Peter Handke
2019,medicine,Gregg Semenza
2019,medicine,Sir Peter Ratcliffe
2019,medicine,William Kaelin Jr
2019,peace,Abiy Ahmed Ali
2019,physics,Didier Queloz
2019,physics,James Peebles
2019,physics,Michel Mayor
2020,chemistry,Emmanuelle Charpentier
2020,chemistry,Jennifer Doudna
2020,economics,Paul Milgrom
2020,economics,Robert Wilson
2020,literature,Louise Glück
2020,medicine,Charles Rice
2020,medicine,Harvey Alter
2020,medicine,Michael Houghton
2020,peace,World Food Programme (WFP)
2020,physics,Andrea Ghez
2020,physics,Reinhard Genzel
2020,physics,Roger Penrose
2021,chemistry,Benjamin List
2021,chemistry,David MacMillan
2021,literature,Abdulrazak Gurnah
2021,medicine,Ardem Patapoutian
2021,medicine,David Julius
2021,peace,Dmitry Muratov
2021,peace,Maria Ressa
2021,physics,Giorgio Parisi
2021,physics,Klaus Hasselmann
2021,physics,Syukuro Manabe
2022,chemistry,Carolyn Bertozzi
2022,chemistry,K. Barry Sharpless
2022,chemistry,Morten Meldal
2022,literature,Annie Ernaux
2022,medicine,Svante Pääbo
2022,peace,Ales Bialiatski
2022,peace,Center for Civil Liberties
2022,peace,Memorial
2022,physics,Alain Aspect
2022,physics,Anton Zeilinger
2022,physics,John Clauser
